,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Alone
34,0,1,male,28.0,1,0,82.1708,C,Mr,n
35,0,1,male,42.0,1,0,52.0,S,Mr,n
36,1,3,male,32.25215146299484,0,0,7.2292,C,Mr,y
37,0,3,male,21.0,0,0,8.05,S,Mr,y
38,0,3,female,18.0,2,0,18.0,S,Miss,n
39,1,3,female,14.0,1,0,11.2417,C,Miss,n
40,0,3,female,40.0,1,0,9.475,S,Mrs,n
41,0,2,female,27.0,1,0,21.0,S,Mrs,n
42,0,3,male,32.25215146299484,0,0,7.8958,C,Mr,y
43,1,2,female,3.0,1,2,41.5792,C,Miss,n
44,1,3,female,19.0,0,0,7.8792,Q,Miss,y
45,0,3,male,32.25215146299484,0,0,8.05,S,Mr,y
46,0,3,male,32.25215146299484,1,0,15.5,Q,Mr,n
47,1,3,female,21.774238095238097,0,0,7.75,Q,Miss,y
48,0,3,male,32.25215146299484,2,0,21.6792,C,Mr,n
49,0,3,female,18.0,1,0,17.8,S,Mrs,n
50,0,3,male,7.0,4,1,39.6875,S,Master,n
51,0,3,male,21.0,0,0,7.8,S,Mr,y
52,1,1,female,49.0,1,0,76.7292,C,Mrs,n
53,1,2,female,29.0,1,0,26.0,S,Mrs,n
54,0,1,male,65.0,0,1,61.9792,C,Mr,n
55,1,1,male,32.25215146299484,0,0,35.5,S,Mr,y
56,1,2,female,21.0,0,0,10.5,S,Miss,y
57,0,3,male,28.5,0,0,7.2292,C,Mr,y
58,1,2,female,5.0,1,2,27.75,S,Miss,n
59,0,3,male,11.0,5,2,46.9,S,Master,n
60,0,3,male,22.0,0,0,7.2292,C,Mr,y
61,1,1,female,38.0,0,0,80.0,unknown,Miss,y
62,0,1,male,45.0,1,0,83.475,S,Mr,n
63,0,3,male,4.0,3,2,27.9,S,Master,n
64,0,1,male,32.25215146299484,0,0,27.7208,C,Mr,y
65,1,3,male,5.482641509433963,1,1,15.2458,C,Master,n
66,1,2,female,29.0,0,0,10.5,S,Mrs,y
67,0,3,male,19.0,0,0,8.1583,S,Mr,y
68,1,3,female,17.0,4,2,7.925,S,Miss,n
69,0,3,male,26.0,2,0,8.6625,S,Mr,n
70,0,2,male,32.0,0,0,10.5,S,Mr,y
71,0,3,female,16.0,5,2,46.9,S,Miss,n
72,0,2,male,21.0,0,0,73.5,S,Mr,y
73,0,3,male,26.0,1,0,14.4542,C,Mr,n
74,1,3,male,32.0,0,0,56.4958,S,Mr,y
75,0,3,male,25.0,0,0,7.65,S,Mr,y
76,0,3,male,32.25215146299484,0,0,7.8958,S,Mr,y
77,0,3,male,32.25215146299484,0,0,8.05,S,Mr,y
78,1,2,male,0.83,0,2,29.0,S,Master,n
79,1,3,female,30.0,0,0,12.475,S,Miss,y
80,0,3,male,22.0,0,0,9.0,S,Mr,y
81,1,3,male,29.0,0,0,9.5,S,Mr,y
82,1,3,female,21.774238095238097,0,0,7.7875,Q,Miss,y
83,0,1,male,28.0,0,0,47.1,S,Mr,y
84,1,2,female,17.0,0,0,10.5,S,Miss,y
85,1,3,female,33.0,3,0,15.85,S,Mrs,n
86,0,3,male,16.0,1,3,34.375,S,Mr,n
87,0,3,male,32.25215146299484,0,0,8.05,S,Mr,y
88,1,1,female,23.0,3,2,263.0,S,Miss,n
89,0,3,male,24.0,0,0,8.05,S,Mr,y
90,0,3,male,29.0,0,0,8.05,S,Mr,y
91,0,3,male,20.0,0,0,7.8542,S,Mr,y
92,0,1,male,46.0,1,0,61.175,S,Mr,n
93,0,3,male,26.0,1,2,20.575,S,Mr,n
94,0,3,male,59.0,0,0,7.25,S,Mr,y
95,0,3,male,32.25215146299484,0,0,8.05,S,Mr,y
96,0,1,male,71.0,0,0,34.6542,C,Mr,y
97,1,1,male,23.0,0,1,63.3583,C,Mr,n
98,1,2,female,34.0,0,1,23.0,S,Mrs,n
99,0,2,male,34.0,1,0,26.0,S,Mr,n
100,0,3,female,28.0,0,0,7.8958,S,Miss,y
101,0,3,male,32.25215146299484,0,0,7.8958,S,Mr,y
102,0,1,male,21.0,0,1,77.2875,S,Mr,n
103,0,3,male,33.0,0,0,8.6542,S,Mr,y
104,0,3,male,37.0,2,0,7.925,S,Mr,n
105,0,3,male,28.0,0,0,7.8958,S,Mr,y
106,1,3,female,21.0,0,0,7.65,S,Miss,y
107,1,3,male,32.25215146299484,0,0,7.775,S,Mr,y
108,0,3,male,38.0,0,0,7.8958,S,Mr,y
109,1,3,female,21.774238095238097,1,0,24.15,Q,Miss,n
110,0,1,male,47.0,0,0,52.0,S,Mr,y
111,0,3,female,14.5,1,0,14.4542,C,Miss,n
112,0,3,male,22.0,0,0,8.05,S,Mr,y
113,0,3,female,20.0,1,0,9.825,S,Miss,n
114,0,3,female,17.0,0,0,14.4583,C,Miss,y
115,0,3,male,21.0,0,0,7.925,S,Mr,y
116,0,3,male,70.5,0,0,7.75,Q,Mr,y
117,0,2,male,29.0,1,0,21.0,S,Mr,n
118,0,1,male,24.0,0,1,247.5208,C,Mr,n
119,0,3,female,2.0,4,2,31.275,S,Miss,n
120,0,2,male,21.0,2,0,73.5,S,Mr,n
121,0,3,male,32.25215146299484,0,0,8.05,S,Mr,y
122,0,2,male,32.5,1,0,30.0708,C,Mr,n
123,1,2,female,32.5,0,0,13.0,S,Miss,y
124,0,1,male,54.0,0,1,77.2875,S,Mr,n
125,1,3,male,12.0,1,0,11.2417,C,Master,n
126,0,3,male,32.25215146299484,0,0,7.75,Q,Mr,y
127,1,3,male,24.0,0,0,7.1417,S,Mr,y
128,1,3,female,21.774238095238097,1,1,22.3583,C,Miss,n
129,0,3,male,45.0,0,0,6.975,S,Mr,y
130,0,3,male,33.0,0,0,7.8958,C,Mr,y
131,0,3,male,20.0,0,0,7.05,S,Mr,y
132,0,3,female,47.0,1,0,14.5,S,Mrs,n
133,1,2,female,29.0,1,0,26.0,S,Mrs,n
134,0,2,male,25.0,0,0,13.0,S,Mr,y
135,0,2,male,23.0,0,0,15.0458,C,Mr,y
136,1,1,female,19.0,0,2,26.2833,S,Miss,n
137,0,1,male,37.0,1,0,53.1,S,Mr,n
138,0,3,male,16.0,0,0,9.2167,S,Mr,y
139,0,1,male,24.0,0,0,79.2,C,Mr,y
140,0,3,female,36.99411764705882,0,2,15.2458,C,Mrs,n
141,1,3,female,22.0,0,0,7.75,S,Miss,y
142,1,3,female,24.0,1,0,15.85,S,Mrs,n
143,0,3,male,19.0,0,0,6.75,Q,Mr,y
144,0,2,male,18.0,0,0,11.5,S,Mr,y
145,0,2,male,19.0,1,1,36.75,S,Mr,n
146,1,3,male,27.0,0,0,7.7958,S,Mr,y
147,0,3,female,9.0,2,2,34.375,S,Miss,n
148,0,2,male,36.5,0,2,26.0,S,Mr,n
149,0,2,male,42.0,0,0,13.0,S,Rev,y
150,0,2,male,51.0,0,0,12.525,S,Rev,y
151,1,1,female,22.0,1,0,66.6,S,Mrs,n
152,0,3,male,55.5,0,0,8.05,S,Mr,y
153,0,3,male,40.5,0,2,14.5,S,Mr,n
154,0,3,male,32.25215146299484,0,0,7.3125,S,Mr,y
155,0,1,male,51.0,0,1,61.3792,C,Mr,n
156,1,3,female,16.0,0,0,7.7333,Q,Miss,y
157,0,3,male,30.0,0,0,8.05,S,Mr,y
158,0,3,male,32.25215146299484,0,0,8.6625,S,Mr,y
159,0,3,male,5.482641509433963,8,2,69.55,S,Master,n
160,0,3,male,44.0,0,1,16.1,S,Mr,n
161,1,2,female,40.0,0,0,15.75,S,Mrs,y
162,0,3,male,26.0,0,0,7.775,S,Mr,y
163,0,3,male,17.0,0,0,8.6625,S,Mr,y
164,0,3,male,1.0,4,1,39.6875,S,Master,n
165,1,3,male,9.0,0,2,20.525,S,Master,n
166,1,1,female,36.99411764705882,0,1,55.0,S,Mrs,n
167,0,3,female,45.0,1,4,27.9,S,Mrs,n
168,0,1,male,32.25215146299484,0,0,25.925,S,Mr,y
169,0,3,male,28.0,0,0,56.4958,S,Mr,y
170,0,1,male,61.0,0,0,33.5,S,Mr,y
171,0,3,male,4.0,4,1,29.125,Q,Master,n
172,1,3,female,1.0,1,1,11.1333,S,Miss,n
173,0,3,male,21.0,0,0,7.925,S,Mr,y
174,0,1,male,56.0,0,0,30.6958,C,Mr,y
175,0,3,male,18.0,1,1,7.8542,S,Mr,n
176,0,3,male,5.482641509433963,3,1,25.4667,S,Master,n
177,0,1,female,50.0,0,0,28.7125,C,Miss,y
178,0,2,male,30.0,0,0,13.0,S,Mr,y
179,0,3,male,36.0,0,0,0.0,S,Mr,y
180,0,3,female,21.774238095238097,8,2,69.55,S,Miss,n
181,0,2,male,32.25215146299484,0,0,15.05,C,Mr,y
182,0,3,male,9.0,4,2,31.3875,S,Master,n
183,1,2,male,1.0,2,1,39.0,S,Master,n
184,1,3,female,4.0,0,2,22.025,S,Miss,n
185,0,1,male,32.25215146299484,0,0,50.0,S,Mr,y
186,1,3,female,36.99411764705882,1,0,15.5,Q,Mrs,n
187,1,1,male,45.0,0,0,26.55,S,Mr,y
188,0,3,male,40.0,1,1,15.5,Q,Mr,n
189,0,3,male,36.0,0,0,7.8958,S,Mr,y
190,1,2,female,32.0,0,0,13.0,S,Mrs,y
191,0,2,male,19.0,0,0,13.0,S,Mr,y
192,1,3,female,19.0,1,0,7.8542,S,Miss,n
193,1,2,male,3.0,1,1,26.0,S,Master,n
194,1,1,female,44.0,0,0,27.7208,C,Mrs,y
195,1,1,female,58.0,0,0,146.5208,C,Miss,y
196,0,3,male,32.25215146299484,0,0,7.75,Q,Mr,y
197,0,3,male,42.0,0,1,8.4042,S,Mr,n
198,1,3,female,21.774238095238097,0,0,7.75,Q,Miss,y
199,0,2,female,24.0,0,0,13.0,S,Miss,y
200,0,3,male,28.0,0,0,9.5,S,Mr,y
201,0,3,male,32.25215146299484,8,2,69.55,S,Mr,n
202,0,3,male,34.0,0,0,6.4958,S,Mr,y
203,0,3,male,45.5,0,0,7.225,C,Mr,y
204,1,3,male,18.0,0,0,8.05,S,Mr,y
205,0,3,female,2.0,0,1,10.4625,S,Miss,n
206,0,3,male,32.0,1,0,15.85,S,Mr,n
207,1,3,male,26.0,0,0,18.7875,C,Mr,y
208,1,3,female,16.0,0,0,7.75,Q,Miss,y
209,1,1,male,40.0,0,0,31.0,C,Mr,y
210,0,3,male,24.0,0,0,7.05,S,Mr,y
211,1,2,female,35.0,0,0,21.0,S,Miss,y
212,0,3,male,22.0,0,0,7.25,S,Mr,y
213,0,2,male,30.0,0,0,13.0,S,Mr,y
214,0,3,male,32.25215146299484,1,0,7.75,Q,Mr,n
215,1,1,female,31.0,1,0,113.275,C,Miss,n
216,1,3,female,27.0,0,0,7.925,S,Miss,y
217,0,2,male,42.0,1,0,27.0,S,Mr,n
218,1,1,female,32.0,0,0,76.2917,C,Miss,y
219,0,2,male,30.0,0,0,10.5,S,Mr,y
220,1,3,male,16.0,0,0,8.05,S,Mr,y
221,0,2,male,27.0,0,0,13.0,S,Mr,y
222,0,3,male,51.0,0,0,8.05,S,Mr,y
223,0,3,male,32.25215146299484,0,0,7.8958,S,Mr,y
224,1,1,male,38.0,1,0,90.0,S,Mr,n
225,0,3,male,22.0,0,0,9.35,S,Mr,y
226,1,2,male,19.0,0,0,10.5,S,Mr,y
227,0,3,male,20.5,0,0,7.25,S,Mr,y
228,0,2,male,18.0,0,0,13.0,S,Mr,y
229,0,3,female,21.774238095238097,3,1,25.4667,S,Miss,n
230,1,1,female,35.0,1,0,83.475,S,Mrs,n
231,0,3,male,29.0,0,0,7.775,S,Mr,y
232,0,2,male,59.0,0,0,13.5,S,Mr,y
233,1,3,female,5.0,4,2,31.3875,S,Miss,n
234,0,2,male,24.0,0,0,10.5,S,Mr,y
235,0,3,female,21.774238095238097,0,0,7.55,S,Miss,y
236,0,2,male,44.0,1,0,26.0,S,Mr,n
237,1,2,female,8.0,0,2,26.25,S,Miss,n
238,0,2,male,19.0,0,0,10.5,S,Mr,y
239,0,2,male,33.0,0,0,12.275,S,Mr,y
240,0,3,female,21.774238095238097,1,0,14.4542,C,Miss,n
241,1,3,female,21.774238095238097,1,0,15.5,Q,Miss,n
242,0,2,male,29.0,0,0,10.5,S,Mr,y
243,0,3,male,22.0,0,0,7.125,S,Mr,y
244,0,3,male,30.0,0,0,7.225,C,Mr,y
245,0,1,male,44.0,2,0,90.0,Q,Dr,n
246,0,3,female,25.0,0,0,7.775,S,Miss,y
247,1,2,female,24.0,0,2,14.5,S,Mrs,n
248,1,1,male,37.0,1,1,52.5542,S,Mr,n
249,0,2,male,54.0,1,0,26.0,S,Rev,n
250,0,3,male,32.25215146299484,0,0,7.25,S,Mr,y
251,0,3,female,29.0,1,1,10.4625,S,Mrs,n
252,0,1,male,62.0,0,0,26.55,S,Mr,y
253,0,3,male,30.0,1,0,16.1,S,Mr,n
254,0,3,female,41.0,0,2,20.2125,S,Mrs,n
255,1,3,female,29.0,0,2,15.2458,C,Mrs,n
256,1,1,female,36.99411764705882,0,0,79.2,C,Mrs,y
257,1,1,female,30.0,0,0,86.5,S,Miss,y
258,1,1,female,35.0,0,0,512.3292,C,Miss,y
259,1,2,female,50.0,0,1,26.0,S,Mrs,n
260,0,3,male,32.25215146299484,0,0,7.75,Q,Mr,y
261,1,3,male,3.0,4,2,31.3875,S,Master,n
262,0,1,male,52.0,1,1,79.65,S,Mr,n
263,0,1,male,40.0,0,0,0.0,S,Mr,y
264,0,3,female,21.774238095238097,0,0,7.75,Q,Miss,y
265,0,2,male,36.0,0,0,10.5,S,Mr,y
266,0,3,male,16.0,4,1,39.6875,S,Mr,n
267,1,3,male,25.0,1,0,7.775,S,Mr,n
268,1,1,female,58.0,0,1,153.4625,S,Mrs,n
269,1,1,female,35.0,0,0,135.6333,S,Miss,y
270,0,1,male,32.25215146299484,0,0,31.0,S,Mr,y
271,1,3,male,25.0,0,0,0.0,S,Mr,y
272,1,2,female,41.0,0,1,19.5,S,Mrs,n
273,0,1,male,37.0,0,1,29.7,C,Mr,n
274,1,3,female,21.774238095238097,0,0,7.75,Q,Miss,y
275,1,1,female,63.0,1,0,77.9583,S,Miss,n
276,0,3,female,45.0,0,0,7.75,S,Miss,y
277,0,2,male,32.25215146299484,0,0,0.0,S,Mr,y
278,0,3,male,7.0,4,1,29.125,Q,Master,n
279,1,3,female,35.0,1,1,20.25,S,Mrs,n
280,0,3,male,65.0,0,0,7.75,Q,Mr,y
281,0,3,male,28.0,0,0,7.8542,S,Mr,y
282,0,3,male,16.0,0,0,9.5,S,Mr,y
283,1,3,male,19.0,0,0,8.05,S,Mr,y
284,0,1,male,32.25215146299484,0,0,26.0,S,Mr,y
285,0,3,male,33.0,0,0,8.6625,C,Mr,y
286,1,3,male,30.0,0,0,9.5,S,Mr,y
287,0,3,male,22.0,0,0,7.8958,S,Mr,y
288,1,2,male,42.0,0,0,13.0,S,Mr,y
289,1,3,female,22.0,0,0,7.75,Q,Miss,y
290,1,1,female,26.0,0,0,78.85,S,Miss,y
291,1,1,female,19.0,1,0,91.0792,C,Mrs,n
292,0,2,male,36.0,0,0,12.875,C,Mr,y
293,0,3,female,24.0,0,0,8.85,S,Miss,y
294,0,3,male,24.0,0,0,7.8958,S,Mr,y
295,0,1,male,32.25215146299484,0,0,27.7208,C,Mr,y
296,0,3,male,23.5,0,0,7.2292,C,Mr,y
297,0,1,female,2.0,1,2,151.55,S,Miss,n
298,1,1,male,32.25215146299484,0,0,30.5,S,Mr,y
299,1,1,female,50.0,0,1,247.5208,C,Mrs,n
300,1,3,female,21.774238095238097,0,0,7.75,Q,Miss,y
301,1,3,male,32.25215146299484,2,0,23.25,Q,Mr,n
302,0,3,male,19.0,0,0,0.0,S,Mr,y
303,1,2,female,21.774238095238097,0,0,12.35,Q,Miss,y
304,0,3,male,32.25215146299484,0,0,8.05,S,Mr,y
305,1,1,male,0.92,1,2,151.55,S,Master,n
306,1,1,female,21.774238095238097,0,0,110.8833,C,Miss,y
307,1,1,female,17.0,1,0,108.9,C,Mrs,n
308,0,2,male,30.0,1,0,24.0,C,Mr,n
309,1,1,female,30.0,0,0,56.9292,C,Miss,y
310,1,1,female,24.0,0,0,83.1583,C,Miss,y
311,1,1,female,18.0,2,2,262.375,C,Miss,n
312,0,2,female,26.0,1,1,26.0,S,Mrs,n
313,0,3,male,28.0,0,0,7.8958,S,Mr,y
314,0,2,male,43.0,1,1,26.25,S,Mr,n
315,1,3,female,26.0,0,0,7.8542,S,Miss,y
316,1,2,female,24.0,1,0,26.0,S,Mrs,n
317,0,2,male,54.0,0,0,14.0,S,Dr,y
318,1,1,female,31.0,0,2,164.8667,S,Miss,n
319,1,1,female,40.0,1,1,134.5,C,Mrs,n
320,0,3,male,22.0,0,0,7.25,S,Mr,y
321,0,3,male,27.0,0,0,7.8958,S,Mr,y
322,1,2,female,30.0,0,0,12.35,Q,Miss,y
323,1,2,female,22.0,1,1,29.0,S,Mrs,n
324,0,3,male,32.25215146299484,8,2,69.55,S,Mr,n
325,1,1,female,36.0,0,0,135.6333,C,Miss,y
326,0,3,male,61.0,0,0,6.2375,S,Mr,y
327,1,2,female,36.0,0,0,13.0,S,Mrs,y
328,1,3,female,31.0,1,1,20.525,S,Mrs,n
329,1,1,female,16.0,0,1,57.9792,C,Miss,n
330,1,3,female,21.774238095238097,2,0,23.25,Q,Miss,n
331,0,1,male,45.5,0,0,28.5,S,Mr,y
332,0,1,male,38.0,0,1,153.4625,S,Mr,n
333,0,3,male,16.0,2,0,18.0,S,Mr,n
334,1,1,female,36.99411764705882,1,0,133.65,S,Mrs,n
335,0,3,male,32.25215146299484,0,0,7.8958,S,Mr,y
336,0,1,male,29.0,1,0,66.6,S,Mr,n
337,1,1,female,41.0,0,0,134.5,C,Miss,y
338,1,3,male,45.0,0,0,8.05,S,Mr,y
339,0,1,male,45.0,0,0,35.5,S,Mr,y
340,1,2,male,2.0,1,1,26.0,S,Master,n
341,1,1,female,24.0,3,2,263.0,S,Miss,n
342,0,2,male,28.0,0,0,13.0,S,Mr,y
343,0,2,male,25.0,0,0,13.0,S,Mr,y
344,0,2,male,36.0,0,0,13.0,S,Mr,y
345,1,2,female,24.0,0,0,13.0,S,Miss,y
346,1,2,female,40.0,0,0,13.0,S,Miss,y
347,1,3,female,36.99411764705882,1,0,16.1,S,Mrs,n
348,1,3,male,3.0,1,1,15.9,S,Master,n
349,0,3,male,42.0,0,0,8.6625,S,Mr,y
350,0,3,male,23.0,0,0,9.225,S,Mr,y
351,0,1,male,32.25215146299484,0,0,35.0,S,Mr,y
352,0,3,male,15.0,1,1,7.2292,C,Mr,n
353,0,3,male,25.0,1,0,17.8,S,Mr,n
354,0,3,male,32.25215146299484,0,0,7.225,C,Mr,y
355,0,3,male,28.0,0,0,9.5,S,Mr,y
356,1,1,female,22.0,0,1,55.0,S,Miss,n
357,0,2,female,38.0,0,0,13.0,S,Miss,y
358,1,3,female,21.774238095238097,0,0,7.8792,Q,Miss,y
359,1,3,female,21.774238095238097,0,0,7.8792,Q,Miss,y
360,0,3,male,40.0,1,4,27.9,S,Mr,n
361,0,2,male,29.0,1,0,27.7208,C,Mr,n
362,0,3,female,45.0,0,1,14.4542,C,Mrs,n
363,0,3,male,35.0,0,0,7.05,S,Mr,y
364,0,3,male,32.25215146299484,1,0,15.5,Q,Mr,n
365,0,3,male,30.0,0,0,7.25,S,Mr,y
366,1,1,female,60.0,1,0,75.25,C,Mrs,n
367,1,3,female,36.99411764705882,0,0,7.2292,C,Mrs,y
368,1,3,female,21.774238095238097,0,0,7.75,Q,Miss,y
369,1,1,female,24.0,0,0,69.3,C,Mme,y
370,1,1,male,25.0,1,0,55.4417,C,Mr,n
371,0,3,male,18.0,1,0,6.4958,S,Mr,n
372,0,3,male,19.0,0,0,8.05,S,Mr,y
373,0,1,male,22.0,0,0,135.6333,C,Mr,y
374,0,3,female,3.0,3,1,21.075,S,Miss,n
375,1,1,female,36.99411764705882,1,0,82.1708,C,Mrs,n
376,1,3,female,22.0,0,0,7.25,S,Miss,y
377,0,1,male,27.0,0,2,211.5,C,Mr,n
378,0,3,male,20.0,0,0,4.0125,C,Mr,y
379,0,3,male,19.0,0,0,7.775,S,Mr,y
380,1,1,female,42.0,0,0,227.525,C,Miss,y
381,1,3,female,1.0,0,2,15.7417,C,Miss,n
382,0,3,male,32.0,0,0,7.925,S,Mr,y
383,1,1,female,35.0,1,0,52.0,S,Mrs,n
384,0,3,male,32.25215146299484,0,0,7.8958,S,Mr,y
385,0,2,male,18.0,0,0,73.5,S,Mr,y
386,0,3,male,1.0,5,2,46.9,S,Master,n
387,1,2,female,36.0,0,0,13.0,S,Miss,y
388,0,3,male,32.25215146299484,0,0,7.7292,Q,Mr,y
389,1,2,female,17.0,0,0,12.0,C,Miss,y
390,1,1,male,36.0,1,2,120.0,S,Mr,n
391,1,3,male,21.0,0,0,7.7958,S,Mr,y
392,0,3,male,28.0,2,0,7.925,S,Mr,n
393,1,1,female,23.0,1,0,113.275,C,Miss,n
394,1,3,female,24.0,0,2,16.7,S,Mrs,n
395,0,3,male,22.0,0,0,7.7958,S,Mr,y
396,0,3,female,31.0,0,0,7.8542,S,Miss,y
397,0,2,male,46.0,0,0,26.0,S,Mr,y
398,0,2,male,23.0,0,0,10.5,S,Dr,y
399,1,2,female,28.0,0,0,12.65,S,Mrs,y
400,1,3,male,39.0,0,0,7.925,S,Mr,y
401,0,3,male,26.0,0,0,8.05,S,Mr,y
402,0,3,female,21.0,1,0,9.825,S,Miss,n
403,0,3,male,28.0,1,0,15.85,S,Mr,n
404,0,3,female,20.0,0,0,8.6625,S,Miss,y
405,0,2,male,34.0,1,0,21.0,S,Mr,n
406,0,3,male,51.0,0,0,7.75,S,Mr,y
407,1,2,male,3.0,1,1,18.75,S,Master,n
408,0,3,male,21.0,0,0,7.775,S,Mr,y
409,0,3,female,21.774238095238097,3,1,25.4667,S,Miss,n
410,0,3,male,32.25215146299484,0,0,7.8958,S,Mr,y
411,0,3,male,32.25215146299484,0,0,6.8583,Q,Mr,y
412,1,1,female,33.0,1,0,90.0,Q,Miss,n
413,0,2,male,32.25215146299484,0,0,0.0,S,Mr,y
414,1,3,male,44.0,0,0,7.925,S,Mr,y
415,0,3,female,36.99411764705882,0,0,8.05,S,Mrs,y
416,1,2,female,34.0,1,1,32.5,S,Mrs,n
417,1,2,female,18.0,0,2,13.0,S,Miss,n
418,0,2,male,30.0,0,0,13.0,S,Mr,y
419,0,3,female,10.0,0,2,24.15,S,Miss,n
420,0,3,male,32.25215146299484,0,0,7.8958,C,Mr,y
421,0,3,male,21.0,0,0,7.7333,Q,Mr,y
422,0,3,male,29.0,0,0,7.875,S,Mr,y
423,0,3,female,28.0,1,1,14.4,S,Mrs,n
424,0,3,male,18.0,1,1,20.2125,S,Mr,n
425,0,3,male,32.25215146299484,0,0,7.25,S,Mr,y
426,1,2,female,28.0,1,0,26.0,S,Mrs,n
427,1,2,female,19.0,0,0,26.0,S,Miss,y
428,0,3,male,32.25215146299484,0,0,7.75,Q,Mr,y
429,1,3,male,32.0,0,0,8.05,S,Mr,y
430,1,1,male,28.0,0,0,26.55,S,Mr,y
431,1,3,female,36.99411764705882,1,0,16.1,S,Mrs,n
432,1,2,female,42.0,1,0,26.0,S,Mrs,n
433,0,3,male,17.0,0,0,7.125,S,Mr,y
434,0,1,male,50.0,1,0,55.9,S,Mr,n
435,1,1,female,14.0,1,2,120.0,S,Miss,n
436,0,3,female,21.0,2,2,34.375,S,Miss,n
437,1,2,female,24.0,2,3,18.75,S,Mrs,n
438,0,1,male,64.0,1,4,263.0,S,Mr,n
439,0,2,male,31.0,0,0,10.5,S,Mr,y
440,1,2,female,45.0,1,1,26.25,S,Mrs,n
441,0,3,male,20.0,0,0,9.5,S,Mr,y
442,0,3,male,25.0,1,0,7.775,S,Mr,n
443,1,2,female,28.0,0,0,13.0,S,Ms,y
444,1,3,male,32.25215146299484,0,0,8.1125,S,Mr,y
445,1,1,male,4.0,0,2,81.8583,S,Master,n
446,1,2,female,13.0,0,1,19.5,S,Miss,n
447,1,1,male,34.0,0,0,26.55,S,Mr,y
448,1,3,female,5.0,2,1,19.2583,C,Miss,n
449,1,1,male,52.0,0,0,30.5,S,Major,y
450,0,2,male,36.0,1,2,27.75,S,Mr,n
451,0,3,male,32.25215146299484,1,0,19.9667,S,Mr,n
452,0,1,male,30.0,0,0,27.75,C,Mr,y
453,1,1,male,49.0,1,0,89.1042,C,Mr,n
454,0,3,male,32.25215146299484,0,0,8.05,S,Mr,y
455,1,3,male,29.0,0,0,7.8958,C,Mr,y
456,0,1,male,65.0,0,0,26.55,S,Mr,y
457,1,1,female,36.99411764705882,1,0,51.8625,S,Mrs,n
458,1,2,female,50.0,0,0,10.5,S,Miss,y
459,0,3,male,32.25215146299484,0,0,7.75,Q,Mr,y
460,1,1,male,48.0,0,0,26.55,S,Mr,y
461,0,3,male,34.0,0,0,8.05,S,Mr,y
462,0,1,male,47.0,0,0,38.5,S,Mr,y
463,0,2,male,48.0,0,0,13.0,S,Mr,y
464,0,3,male,32.25215146299484,0,0,8.05,S,Mr,y
465,0,3,male,38.0,0,0,7.05,S,Mr,y
466,0,2,male,32.25215146299484,0,0,0.0,S,Mr,y
467,0,1,male,56.0,0,0,26.55,S,Mr,y
468,0,3,male,32.25215146299484,0,0,7.725,Q,Mr,y
469,1,3,female,0.75,2,1,19.2583,C,Miss,n
470,0,3,male,32.25215146299484,0,0,7.25,S,Mr,y
471,0,3,male,38.0,0,0,8.6625,S,Mr,y
472,1,2,female,33.0,1,2,27.75,S,Mrs,n
473,1,2,female,23.0,0,0,13.7917,C,Mrs,y
